"","nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","cor","coef","se","pval"
"1",6,2,0,0.3,0.3,8,1,0.269295971247435,0.239762091959842,0.202959929256116,0.23747275219277
"2",6,2,0,0.35,0.3,8,1,0.363085517339616,0.195632513245834,0.147386887789516,0.184396234065107
"3",6,2,0,0.4,0.3,8,1,0.340826374190054,0.138923501851012,0.153013774397072,0.363923128922887
"4",6,2,0,0.3,0.35,8,1,0.210607761558003,-0.0372973166722597,0.115032068203694,0.745760823296464
"5",6,2,0,0.35,0.35,8,1,0.209857973862794,0.121621708724188,0.162587087470963,0.454435794064674
"6",6,2,0,0.4,0.35,8,1,0.283015383831863,-0.0395052822068522,0.138321864988329,0.775181415768829
"7",6,2,0,0.3,0.4,8,1,0.345122762433127,-0.339150685056186,0.0891621063289397,0.000142519932097478
"8",6,2,0,0.35,0.4,8,1,0.42651668128741,0.00771994266931797,0.214859877650567,0.971338073579935
"9",6,2,0,0.4,0.4,8,1,0.417634868704733,0.191486243642243,0.153405048577583,0.211943356583068
"10",6,2,0,0.3,0.3,10,1,0.241096624282778,0.0817537705828251,0.227948904357824,0.719857278493198
"11",6,2,0,0.35,0.3,10,1,0.30521764481997,0.18710203396749,0.110938700427323,0.0916927426597387
"12",6,2,0,0.4,0.3,10,1,0.285421233327493,0.29422258650215,0.214162514348375,0.169494901079107
"13",6,2,0,0.3,0.35,10,1,0.4425294770051,-0.0878979646921145,0.16624063024982,0.596986267973648
"14",6,2,0,0.35,0.35,10,1,0.33312459565464,-0.041693510163018,0.178813026881881,0.81563080435586
"15",6,2,0,0.4,0.35,10,1,0.399532499516575,0.111527459706584,0.16019731849612,0.486311066778415
"16",6,2,0,0.3,0.4,10,1,0.305663290771508,-0.0504942116193035,0.179736862317274,0.778760954103095
"17",6,2,0,0.35,0.4,10,1,0.495983325862296,-0.186840639793738,0.134222391179248,0.163915468994532
"18",6,2,0,0.4,0.4,10,1,0.312282387794423,0.0345116203899754,0.188244825860446,0.854536193882135
"19",6,2,0,0.3,0.3,12,1,0.343187002504044,0.0426302875913231,0.0902708646200176,0.636749368398726
"20",6,2,0,0.35,0.3,12,1,0.410464382091749,0.159183620600235,0.181892983605612,0.381492366351855
"21",6,2,0,0.4,0.3,12,1,0.276887226084103,0.170088884225396,0.126368466310848,0.178310355205581
"22",6,2,0,0.3,0.35,12,1,0.208051627491388,-0.00661060654761814,0.147277980421662,0.964198786904265
"23",6,2,0,0.35,0.35,12,1,0.308713494509894,-0.102237843228857,0.124596129536861,0.41190040091691
"24",6,2,0,0.4,0.35,12,1,0.403626720136493,0.242258175853913,0.0844019471766632,0.00410093792238885
"25",6,2,0,0.3,0.4,12,1,0.234343176764699,-0.0836049123167608,0.054491300175912,0.124960782551123
"26",6,2,0,0.35,0.4,12,1,0.425501527671251,-0.153601649355811,0.123350780428104,0.21304257945115
"27",6,2,0,0.4,0.4,12,1,0.497456381371191,0.150417706155189,0.179719011164077,0.402614794143867
"28",6,2,0,0.3,0.3,14,1,0.299369467605474,-0.138230666605647,0.107385614534382,0.198011920705496
"29",6,2,0,0.35,0.3,14,1,0.342612758849519,-0.0363628121557129,0.144704388651821,0.801589658489283
"30",6,2,0,0.4,0.3,14,1,0.395245354389506,0.269395204305181,0.184075393258561,0.143329326848629
"31",6,2,0,0.3,0.35,14,1,0.326252090268623,0.0121985132545297,0.13358027004751,0.927238546805085
"32",6,2,0,0.35,0.35,14,1,0.382250041156862,-0.063340574651455,0.0965866917960733,0.511959331179748
"33",6,2,0,0.4,0.35,14,1,0.411154831188392,0.347485234391057,0.0816270295538039,2.07200050049655e-05
"34",6,2,0,0.3,0.4,14,1,0.406522023008446,-0.0545874495816345,0.207357673852868,0.792355880699655
"35",6,2,0,0.35,0.4,14,1,0.424616158758007,0.113854746051457,0.196157970911277,0.561628889539061
"36",6,2,0,0.4,0.4,14,1,0.323771279266979,0.208122799435158,0.0893598149478332,0.0198568186925744
"37",6,2,0,0.3,0.3,16,1,0.325094459551283,-0.0204143854282055,0.0987695082039033,0.836254215110376
"38",6,2,0,0.35,0.3,16,1,0.348845087914638,0.03964577147288,0.143513025518953,0.78235446062926
"39",6,2,0,0.4,0.3,16,1,0.335688403295931,0.112512347910821,0.140834452998272,0.424349620180936
"40",6,2,0,0.3,0.35,16,1,0.101257288012302,0.135927382102717,0.0480559352534544,0.00467631463015232
"41",6,2,0,0.35,0.35,16,1,0.288680456365564,-0.129713419956165,0.104895492478376,0.216236845263364
"42",6,2,0,0.4,0.35,16,1,0.432259045520728,0.0132554151079196,0.0351801029423727,0.706331698369925
"43",6,2,0,0.3,0.4,16,1,0.30454546878966,0.155669718130984,0.127215621447122,0.221077397858347
"44",6,2,0,0.35,0.4,16,1,0.264980139805148,0.0285271436934307,0.122635549255078,0.816058634494938
"45",6,2,0,0.4,0.4,16,1,0.344459202283345,-0.0498740557266388,0.139959175653048,0.721580590434445
"46",6,2,0,0.3,0.3,18,1,0.143042903185623,0.00995354397838133,0.0872148259353892,0.909137323302628
"47",6,2,0,0.35,0.3,18,1,0.310920676931977,-0.0236161524701335,0.125288123192322,0.850488836836067
"48",6,2,0,0.4,0.3,18,1,0.358745036720507,-0.0479882391894519,0.171953602510506,0.78018598494868
"49",6,2,0,0.3,0.35,18,1,0.24619765901515,0.0471356388811586,0.0709765328168105,0.506625197132273
"50",6,2,0,0.35,0.35,18,1,0.257400884645751,0.0819872371436681,0.0913433790808887,0.369413902415845
"51",6,2,0,0.4,0.35,18,1,0.452986181483952,-0.0649569009199031,0.0801473206411608,0.417670803182241
"52",6,2,0,0.3,0.4,18,1,0.339823400267042,-0.28406427350536,0.0949652107960102,0.00277841890655439
"53",6,2,0,0.35,0.4,18,1,0.396499653335841,-0.122690484925576,0.0691550479784228,0.0760405981684187
"54",6,2,0,0.4,0.4,18,1,0.392038359781437,0.232433549006474,0.108656135312981,0.0324221979178235
"55",6,2,0,0.3,0.3,20,1,0.500203659587062,-0.173140180025055,0.0789962132322461,0.0283973531905081
"56",6,2,0,0.35,0.3,20,1,0.277956957740106,-0.146610755853072,0.153108887182785,0.338285304020605
"57",6,2,0,0.4,0.3,20,1,0.32122823823266,-0.0249826019293935,0.160393220506085,0.876223410556184
"58",6,2,0,0.3,0.35,20,1,0.312258043296488,0.0400577936912807,0.0864922669600804,0.64326596607658
"59",6,2,0,0.35,0.35,20,1,0.417016493064476,0.0189362011817034,0.111013872009885,0.864557886331893
"60",6,2,0,0.4,0.35,20,1,0.313312626654779,0.160854999255225,0.0677197769196972,0.0175345426013699
"61",6,2,0,0.3,0.4,20,1,0.419046436990251,0.0019641495670577,0.109955782470699,0.985748077644871
"62",6,2,0,0.35,0.4,20,1,0.365207418149515,-0.199296618330862,0.102871777743281,0.0527049732128757
"63",6,2,0,0.4,0.4,20,1,0.422404061138775,-0.262396684684649,0.0660203742416114,7.05330643916127e-05
"64",6,2,0,0.3,0.3,8,2,0.305597009898457,0.227714243002859,0.132862015503543,0.0865442801355209
"65",6,2,0,0.35,0.3,8,2,0.279380160833391,-0.0535560033066411,0.259725936595251,0.836633138489999
"66",6,2,0,0.4,0.3,8,2,0.366822365781011,0.342655325834151,0.203223518853356,0.0917763972108394
"67",6,2,0,0.3,0.35,8,2,0.373543011538033,0.134495114452648,0.233992858363847,0.56543807307977
"68",6,2,0,0.35,0.35,8,2,0.389191815433451,0.157720763995822,0.130955844382109,0.228442254383674
"69",6,2,0,0.4,0.35,8,2,0.492117296960285,0.158247388700826,0.158403309664593,0.317787099888429
"70",6,2,0,0.3,0.4,8,2,0.366620961501274,0.167782579066559,0.167974067835634,0.317862510768094
"71",6,2,0,0.35,0.4,8,2,0.380732096034727,0.110904751507151,0.247786067620375,0.654454407370738
"72",6,2,0,0.4,0.4,8,2,0.418213582206024,0.175480370774574,0.126773871898858,0.166297278202139
"73",6,2,0,0.3,0.3,10,2,0.266429035801568,0.0487221230266512,0.154016245831233,0.751741379197083
"74",6,2,0,0.35,0.3,10,2,0.397682915737527,0.0842208579748833,0.132161792677974,0.523958290410427
"75",6,2,0,0.4,0.3,10,2,0.32391795105337,-0.360657352203641,0.121345418795915,0.00295717676060726
"76",6,2,0,0.3,0.35,10,2,0.381737561127435,-0.276296537983499,0.14181446277261,0.0513795661122725
"77",6,2,0,0.35,0.35,10,2,0.300284819296641,0.0288525234604546,0.195330968727514,0.88257088754663
"78",6,2,0,0.4,0.35,10,2,0.266698541373263,0.107713265869426,0.151162429220126,0.476114118308281
"79",6,2,0,0.3,0.4,10,2,0.280126845414612,-0.0823295569371234,0.157800349016803,0.601856653171678
"80",6,2,0,0.35,0.4,10,2,0.495072191854638,-0.157596222827258,0.121341801270254,0.194019671682546
"81",6,2,0,0.4,0.4,10,2,0.414725687355032,-0.0468725301954236,0.192264475626298,0.807391960197981
"82",6,2,0,0.3,0.3,12,2,0.261801526316391,0.0498887610833756,0.15430172801499,0.746453270200716
"83",6,2,0,0.35,0.3,12,2,0.276439804535046,-0.0746687474346253,0.164649730943271,0.650188330365575
"84",6,2,0,0.4,0.3,12,2,0.464728399202489,-0.0411382890049921,0.157050678958814,0.79336556908039
"85",6,2,0,0.3,0.35,12,2,0.200535185823344,-0.0884312079676119,0.128581205699401,0.491612756327112
"86",6,2,0,0.35,0.35,12,2,0.380836268897993,-0.0335084955896314,0.158495314602809,0.832562425787849
"87",6,2,0,0.4,0.35,12,2,0.456105221611211,0.11688379345661,0.160937675133412,0.467674835225952
"88",6,2,0,0.3,0.4,12,2,0.189098410021568,-0.00561668032782503,0.1487647195802,0.969882657293468
"89",6,2,0,0.35,0.4,12,2,0.385478246713698,0.0846387944640374,0.124157815906759,0.495426572021858
"90",6,2,0,0.4,0.4,12,2,0.269443953240757,-0.21032236176112,0.208190242866275,0.312379742414995
"91",6,2,0,0.3,0.3,14,2,0.448805909201311,0.0931087126638848,0.0911578858566332,0.307064715714524
"92",6,2,0,0.35,0.3,14,2,0.399393060596151,-0.00644618370839423,0.07887928243718,0.934867672615833
"93",6,2,0,0.4,0.3,14,2,0.514355135121695,0.11452506397198,0.143461323260324,0.424696864456118
"94",6,2,0,0.3,0.35,14,2,0.348433334990073,0.181283320118802,0.0916016390109594,0.0478114875831221
"95",6,2,0,0.35,0.35,14,2,0.384245456672371,0.179604557921274,0.130692157215583,0.169362038787291
"96",6,2,0,0.4,0.35,14,2,0.305632290803285,-0.0396977742120717,0.159249240081389,0.803143600246437
"97",6,2,0,0.3,0.4,14,2,0.283303593040261,-0.199329406665147,0.129999194440425,0.125198844284045
"98",6,2,0,0.35,0.4,14,2,0.331393513010357,-0.0704517516417966,0.118218548271413,0.551211976070479
"99",6,2,0,0.4,0.4,14,2,0.407140996800518,0.0956298760641492,0.132765338980729,0.471344930176953
"100",6,2,0,0.3,0.3,16,2,0.201301344040463,-0.201932460986091,0.12743252117893,0.113052092791285
"101",6,2,0,0.35,0.3,16,2,0.310143342639337,-0.0607269405839133,0.140043212322681,0.664557133424772
"102",6,2,0,0.4,0.3,16,2,0.409950468125247,0.166946367745727,0.134295167477752,0.213819887955971
