"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0.3,0.3,0.3,10,8,-0.357090349482395,0.116666666666667
6,2,0,0.3,0.3,12,8,-0.1638658132207,0.416666666666667
6,2,0.3,0.3,0.3,12,8,-0.0179298952824133,0.923333333333333
6,2,0,0.3,0.3,14,8,-0.0243852985340884,0.92
6,2,0.3,0.3,0.3,14,8,-0.276819468119961,0.143333333333333
6,2,0,0.3,0.3,16,8,0.339596548794681,0.0566666666666667
6,2,0.3,0.3,0.3,16,8,-0.677575537298923,0
6,2,0,0.3,0.3,6,9,0.260263669327248,0.39
6,2,0.3,0.3,0.3,6,9,-0.339974138803052,0.25
6,2,0,0.3,0.3,8,9,-0.0987713735422558,0.736666666666667
6,2,0.3,0.3,0.3,8,9,-0.462286550090534,0.0933333333333333
6,2,0,0.3,0.3,10,9,-0.0660301151657673,0.75
6,2,0.3,0.3,0.3,10,9,-0.0909195949369681,0.73
6,2,0,0.3,0.3,12,9,0.200940082263158,0.31
6,2,0.3,0.3,0.3,12,9,-0.394841468982392,0.0666666666666667
6,2,0,0.3,0.3,14,9,-0.0325718155773306,0.883333333333333
6,2,0.3,0.3,0.3,14,9,-0.0782101919264681,0.706666666666667
6,2,0,0.3,0.3,16,9,-0.00490001987538166,0.993333333333333
6,2,0.3,0.3,0.3,16,9,-0.330062898195372,0.0766666666666667
6,2,0,0.3,0.3,6,10,0.256686918138681,0.416666666666667
6,2,0.3,0.3,0.3,6,10,0.0444469502109737,0.903333333333333
6,2,0,0.3,0.3,8,10,-0.29874421068965,0.25
6,2,0.3,0.3,0.3,8,10,-0.619270073578136,0.0166666666666667
6,2,0,0.3,0.3,10,10,-0.0121127857631947,0.953333333333333
6,2,0.3,0.3,0.3,10,10,-0.340807909263861,0.116666666666667
6,2,0,0.3,0.3,12,10,0.191857166929291,0.37
6,2,0.3,0.3,0.3,12,10,-0.0923412443784447,0.726666666666667
6,2,0,0.3,0.3,14,10,0.227957216439632,0.253333333333333
6,2,0.3,0.3,0.3,14,10,-0.366403308523977,0.07
6,2,0,0.3,0.3,16,10,0.0574225418744703,0.796666666666667
6,2,0.3,0.3,0.3,16,10,-0.329255750339205,0.05
6,2,0,0.3,0.3,6,11,-0.00152529790805825,0.996666666666667
6,2,0.3,0.3,0.3,6,11,-0.402677889004419,0.223333333333333
6,2,0,0.3,0.3,8,11,-0.230156586492815,0.326666666666667
6,2,0.3,0.3,0.3,8,11,-0.138150438450107,0.553333333333333
6,2,0,0.3,0.3,10,11,0.307037324150411,0.17
6,2,0.3,0.3,0.3,10,11,-1.01409038458084,0
6,2,0,0.3,0.3,12,11,-0.165553610695223,0.426666666666667
6,2,0.3,0.3,0.3,12,11,-0.417695527255375,0.05
6,2,0,0.3,0.3,14,11,-0.00970061775442255,0.966666666666667
6,2,0.3,0.3,0.3,14,11,-0.36483070638741,0.07
6,2,0,0.3,0.3,16,11,-0.177118907702547,0.363333333333333
6,2,0.3,0.3,0.3,16,11,-0.417783666832774,0.0133333333333333
