"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,25,3,-0.0503313824777743,0.7
6,2,0.3,0.3,0.3,25,3,-0.406487613962781,0.00333333333333333
6,2,0,0.3,0.3,30,3,-0.00718728450063176,0.93
6,2,0.3,0.3,0.3,30,3,-0.189063701563302,0.106666666666667
6,2,0,0.3,0.3,35,3,0.00272371971415383,0.966666666666667
6,2,0.3,0.3,0.3,35,3,-0.299579755336353,0.0133333333333333
6,2,0,0.3,0.3,40,3,0.182850576469513,0.126666666666667
6,2,0.3,0.3,0.3,40,3,-0.614448819518873,0
6,2,0,0.3,0.3,10,4,0.125851801616268,0.59
6,2,0.3,0.3,0.3,10,4,-0.089664464656178,0.743333333333333
6,2,0,0.3,0.3,15,4,0.227262644880523,0.23
6,2,0.3,0.3,0.3,15,4,-0.195415625552804,0.286666666666667
6,2,0,0.3,0.3,20,4,-0.0974234080251167,0.503333333333333
6,2,0.3,0.3,0.3,20,4,-0.204952024423402,0.26
6,2,0,0.3,0.3,25,4,0.129429812640957,0.34
6,2,0.3,0.3,0.3,25,4,-0.352452631516637,0.01
6,2,0,0.3,0.3,30,4,-0.052881838496508,0.68
6,2,0.3,0.3,0.3,30,4,-0.439971470524059,0
6,2,0,0.3,0.3,35,4,0.111695861503059,0.343333333333333
6,2,0.3,0.3,0.3,35,4,-0.259121764228204,0.04
6,2,0,0.3,0.3,40,4,-0.203485743220305,0.116666666666667
6,2,0.3,0.3,0.3,40,4,-0.520784995417243,0
6,2,0,0.3,0.3,10,5,-0.147988171551285,0.59
6,2,0.3,0.3,0.3,10,5,-0.125580802698336,0.63
6,2,0,0.3,0.3,15,5,0.1462294032172,0.466666666666667
6,2,0.3,0.3,0.3,15,5,-0.718673187405196,0
6,2,0,0.3,0.3,20,5,0.180343654679768,0.253333333333333
6,2,0.3,0.3,0.3,20,5,-0.22147903591419,0.193333333333333
6,2,0,0.3,0.3,25,5,-0.0797915802472662,0.516666666666667
6,2,0.3,0.3,0.3,25,5,-0.395709805874122,0.0233333333333333
6,2,0,0.3,0.3,30,5,0.0948198013936641,0.506666666666667
6,2,0.3,0.3,0.3,30,5,-0.343966964743446,0.0333333333333333
6,2,0,0.3,0.3,35,5,0.134266580825063,0.27
6,2,0.3,0.3,0.3,35,5,-0.153419626527498,0.243333333333333
6,2,0,0.3,0.3,40,5,-0.105340973548481,0.363333333333333
6,2,0.3,0.3,0.3,40,5,-0.33445795571556,0.0133333333333333
6,2,0,0.3,0.3,10,6,-0.330329280980624,0.16
6,2,0.3,0.3,0.3,10,6,-0.283781966758427,0.263333333333333
6,2,0,0.3,0.3,15,6,0.205918378451429,0.23
6,2,0.3,0.3,0.3,15,6,-0.367584895423771,0.06
6,2,0,0.3,0.3,20,6,-0.0954397263924216,0.536666666666667
6,2,0.3,0.3,0.3,20,6,-0.597770042661848,0
6,2,0,0.3,0.3,25,6,0.163960347210202,0.24
6,2,0.3,0.3,0.3,25,6,-0.295561755371105,0.0566666666666667
6,2,0,0.3,0.3,30,6,0.102561745631752,0.436666666666667
6,2,0.3,0.3,0.3,30,6,-0.289879910691566,0.0266666666666667
6,2,0,0.3,0.3,35,6,0.0232334089365518,0.836666666666667
6,2,0.3,0.3,0.3,35,6,-0.340137736789343,0.0133333333333333
6,2,0,0.3,0.3,40,6,0.00789967099622558,0.943333333333333
6,2,0.3,0.3,0.3,40,6,-0.235330813186579,0.0533333333333333
6,2,0,0.3,0.3,10,7,-0.0112043756756322,0.966666666666667
6,2,0.3,0.3,0.3,10,7,-0.286047490433216,0.21
6,2,0,0.3,0.3,15,7,-0.250011155023985,0.2
6,2,0.3,0.3,0.3,15,7,0.0111316049362847,0.936666666666667
6,2,0,0.3,0.3,20,7,0.267631992739073,0.12
6,2,0.3,0.3,0.3,20,7,-0.40595380470677,0.01
6,2,0,0.3,0.3,25,7,0.0311627050139158,0.83
6,2,0.3,0.3,0.3,25,7,-0.289121907424562,0.0433333333333333
6,2,0,0.3,0.3,30,7,0.24122079241322,0.0766666666666667
6,2,0.3,0.3,0.3,30,7,-0.365269702376005,0.01
6,2,0,0.3,0.3,35,7,-0.148846397761277,0.256666666666667
6,2,0.3,0.3,0.3,35,7,-0.490143608012,0
6,2,0,0.3,0.3,40,7,0.10626403850811,0.343333333333333
6,2,0.3,0.3,0.3,40,7,-0.194193183676478,0.113333333333333
6,2,0,0.3,0.3,10,8,-0.217188370476042,0.413333333333333
