"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,248,10,0,0.3,6,3,-0.855806755860272,0.216
6,2,0.2,261,10,0,0.3,6,3,-0.672366681953378,0.218
6,2,0.2,24,10,0,0.3,6,3,-0.690588284603251,0.22
6,2,0.2,132,10,0,0.3,6,3,-0.93660909824095,0.22
6,2,0.2,194,10,0,0.3,6,3,-0.834324562517651,0.22
6,2,0.2,413,10,0,0.3,6,3,-0.657045997743552,0.222
6,2,0.2,417,10,0,0.3,6,3,0.880657106405152,0.222
6,2,0.2,37,10,0,0.3,6,3,-0.48501694359453,0.226
6,2,0.2,420,10,0,0.3,6,3,-1.05790943698346,0.228
6,2,0.2,238,10,0,0.3,6,3,0.833077411196143,0.232
6,2,0.2,281,10,0,0.3,6,3,-0.793058928586447,0.232
6,2,0.2,469,10,0,0.3,6,3,0.805003150881134,0.232
6,2,0.2,17,10,0,0.3,6,3,1.13176503737066,0.236
6,2,0.2,394,10,0,0.3,6,3,0.768691384798132,0.236
6,2,0.2,230,10,0,0.3,6,3,0.96861723731962,0.24
6,2,0.2,173,10,0,0.3,6,3,0.633987760836618,0.242
6,2,0.2,252,10,0,0.3,6,3,0.710531183164903,0.246
6,2,0.2,357,10,0,0.3,6,3,1.29258181473372,0.246
6,2,0.2,397,10,0,0.3,6,3,-0.692363212277201,0.246
6,2,0.2,341,10,0,0.3,6,3,0.725274592165505,0.254
6,2,0.2,463,10,0,0.3,6,3,0.659546633754729,0.254
6,2,0.2,124,10,0,0.3,6,3,-0.687107865053719,0.256
6,2,0.2,351,10,0,0.3,6,3,0.645072711982152,0.258
6,2,0.2,6,10,0,0.3,6,3,-1.94296658074265,0.262
6,2,0.2,22,10,0,0.3,6,3,0.830029941811517,0.266
6,2,0.2,267,10,0,0.3,6,3,-0.493493270132689,0.266
6,2,0.2,236,10,0,0.3,6,3,-0.730605618015034,0.27
6,2,0.2,464,10,0,0.3,6,3,0.549562621417124,0.272
6,2,0.2,242,10,0,0.3,6,3,-0.633501926556335,0.274
6,2,0.2,211,10,0,0.3,6,3,0.725926034276227,0.278
6,2,0.2,360,10,0,0.3,6,3,-0.557688041380942,0.278
6,2,0.2,92,10,0,0.3,6,3,-0.427386202512736,0.28
6,2,0.2,94,10,0,0.3,6,3,-0.675209017844793,0.28
6,2,0.2,28,10,0,0.3,6,3,-0.530261309767297,0.284
6,2,0.2,293,10,0,0.3,6,3,0.679015865887635,0.284
6,2,0.2,303,10,0,0.3,6,3,0.459237302899709,0.284
6,2,0.2,30,10,0,0.3,6,3,0.514141018817412,0.286
6,2,0.2,66,10,0,0.3,6,3,0.643202892637902,0.286
6,2,0.2,330,10,0,0.3,6,3,-0.692085335037888,0.286
6,2,0.2,264,10,0,0.3,6,3,0.728314202248498,0.288
6,2,0.2,339,10,0,0.3,6,3,-0.649489319806946,0.288
6,2,0.2,279,10,0,0.3,6,3,0.339623772741589,0.294
6,2,0.2,111,10,0,0.3,6,3,0.989932826342653,0.298
6,2,0.2,178,10,0,0.3,6,3,-0.577982956180279,0.298
6,2,0.2,465,10,0,0.3,6,3,-1.03455400303017,0.3
6,2,0.2,254,10,0,0.3,6,3,0.486669163442031,0.304
6,2,0.2,461,10,0,0.3,6,3,-1.01619499031244,0.31
6,2,0.2,85,10,0,0.3,6,3,0.380645176060057,0.314
6,2,0.2,498,10,0,0.3,6,3,-0.449235081295029,0.314
6,2,0.2,203,10,0,0.3,6,3,-0.655499000752542,0.32
6,2,0.2,87,10,0,0.3,6,3,0.639736804199458,0.322
6,2,0.2,190,10,0,0.3,6,3,-0.643177382725355,0.326
6,2,0.2,99,10,0,0.3,6,3,-0.681404509930616,0.33
6,2,0.2,63,10,0,0.3,6,3,-1.09574593206455,0.334
6,2,0.2,171,10,0,0.3,6,3,0.375359957900997,0.346
6,2,0.2,445,10,0,0.3,6,3,-0.720910112599654,0.346
6,2,0.2,168,10,0,0.3,6,3,0.385607566229538,0.348
